financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2015-16,Lakshadweep,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Lakshadweep,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Madhya Pradesh,dap,10.51,9.03,12.0,10.0,11.3,9.17,,,False,0,8.09
2015-16,Madhya Pradesh,mop,0.79,0.83,1.1,0.9,1.05,0.99,,,False,0,1.01
2015-16,Madhya Pradesh,npks,2.95,2.25,3.75,3.45,3.25,2.5,,,False,0,2.79
2015-16,Madhya Pradesh,urea,23.87,20.7,28.0,20.0,24.84,20.73,,,False,0,22.48
2015-16,Maharashtra,dap,6.72,5.59,8.5,8.5,6.8,5.49,,,False,0,6.0
2015-16,Maharashtra,mop,3.16,4.48,4.75,4.0,3.28,4.9,,,False,0,3.52
2015-16,Maharashtra,npks,17.97,16.17,21.0,20.0,19.17,17.02,,,False,0,17.12
2015-16,Maharashtra,urea,23.6,25.68,27.0,26.5,24.01,25.78,,,False,0,24.91
2015-16,Manipur,dap,0.0,0.0,0.08,0.07,0.0,0.0,,,False,0,0.0
2015-16,Manipur,mop,0.0,0.0,0.05,0.06,0.0,0.0,,,False,0,0.0
2015-16,Manipur,npks,0.0,0.0,0.0,0.03,0.0,0.0,,,False,0,0.0
2015-16,Manipur,urea,0.19,0.23,0.33,0.29,0.19,0.23,,,False,0,0.17
2015-16,Meghalaya,dap,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Meghalaya,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Meghalaya,npks,0.01,0.0,0.0,0.0,0.01,0.0,,,False,0,0.0
2015-16,Meghalaya,urea,0.02,0.06,0.03,0.03,0.02,0.06,,,False,0,0.0
2015-16,Mizoram,dap,0.0,0.0,0.06,0.06,0.0,0.0,,,False,0,0.0
2015-16,Mizoram,mop,0.0,0.0,0.04,0.05,0.0,0.0,,,False,0,0.0
2015-16,Mizoram,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2015-16,Mizoram,urea,0.04,0.04,0.09,0.09,0.04,0.04,,,False,0,0.05
2015-16,Nagaland,dap,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Nagaland,mop,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2015-16,Nagaland,npks,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
